team_name,team_seed,region,round,vegas_prob,public_pick_pct,leverage,leverage_ratio,round_weighted_leverage,high_signal_flag,zero_ownership_flag,sign_flip_flag,prop_norm_caution_flag
Siena,16,East,r2,0.004648,0.001,0.003648,4.648,0.073,N,N,,N
Siena,16,East,r3,0.002398,0.0002,0.002198,11.99,0.0879,N,N,,N
Siena,16,East,r4,0.001008,0.0001,0.000908,10.08,0.0726,N,N,N,N
Siena,16,East,r5,0.000707,5e-05,0.000657,14.14,0.1051,N,N,,Y
Siena,16,East,r6,0.000381,1e-05,0.000371,38.1,0.1187,N,N,,Y
PV/LEH,16,South,r1,0.0463,0.025,0.0213,1.852,0.213,N,N,,N
PV/LEH,16,South,r2,0.001733,0.002,-0.000267,0.8665,-0.0053,N,N,,N
PV/LEH,16,South,r3,0.001496,0.0003,0.001196,4.9867,0.0478,N,N,,N
PV/LEH,16,South,r4,0.001019,0.0001,0.000919,10.19,0.0735,N,N,N,N
PV/LEH,16,South,r5,0.000818,5e-05,0.000768,16.36,0.1229,N,N,,Y
PV/LEH,16,South,r6,0.000449,1e-05,0.000439,44.9,0.1405,N,N,,Y
Howard,16,Midwest,r1,0.0239,0.022,0.0019,1.0864,0.019,N,N,,N
Howard,16,Midwest,r2,0.004503,0.001,0.003503,4.503,0.0701,N,N,,N
Howard,16,Midwest,r3,0.002012,0.0002,0.001812,10.06,0.0725,N,N,,N
Howard,16,Midwest,r4,0.001442,0.0001,0.001342,14.42,0.1074,N,N,N,N
Howard,16,Midwest,r5,0.000775,5e-05,0.000725,15.5,0.116,N,N,,Y
Howard,16,Midwest,r6,0.000399,1e-05,0.000389,39.9,0.1245,N,N,,Y
Long Island,16,West,r1,0.0192,0.02,-0.0008,0.96,-0.008,N,N,,N
Long Island,16,West,r2,0.002185,0.001,0.001185,2.185,0.0237,N,N,,N
Long Island,16,West,r3,0.001463,0.0002,0.001263,7.315,0.0505,N,N,,N
Long Island,16,West,r4,0.000857,0.0001,0.000757,8.57,0.0606,N,N,N,N
Long Island,16,West,r5,0.00081,5e-05,0.00076,16.2,0.1216,N,N,,Y
Long Island,16,West,r6,0.000409,1e-05,0.000399,40.9,0.1277,N,N,,Y
